id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance,hover_text,wine_region
LFGA0,Colmar / Houssen,FR,A,,LFGA,48.1099,7.359,191.0,Europe/Paris,2020-01-14,2023-03-31,2020-01-14,2022-04-25,2020-01-01,2022-01-01,15898.343254034176,<b>Colmar / Houssen</b><br>Latitude: 48.1099<br>Longitude: 7.359<br>Elevation: 191.0,"Alsace, France"
D5453,Weisweil-Waldeckhof,DE,BW,,,48.188,7.6977,173.0,Europe/Berlin,2005-04-01,2023-03-29,1992-06-01,2022-04-25,1992-01-01,2022-01-01,22552.94438167029,<b>Weisweil-Waldeckhof</b><br>Latitude: 48.188<br>Longitude: 7.6977<br>Elevation: 173.0,"Alsace, France"
D2388,Ihringen,DE,BW,,,48.0419,7.6322,193.0,Europe/Berlin,1990-06-01,2023-03-29,1990-06-01,2022-04-26,1990-01-01,2022-01-01,28446.807591672226,<b>Ihringen</b><br>Latitude: 48.0419<br>Longitude: 7.6322<br>Elevation: 193.0,"Alsace, France"
D1224,Emmendingen-Mundingen,DE,BW,,,48.1378,7.8351,201.0,Europe/Berlin,2002-12-01,2023-03-29,1975-11-01,2023-03-29,1975-01-01,2022-01-01,34031.23324436848,<b>Emmendingen-Mundingen</b><br>Latitude: 48.1378<br>Longitude: 7.8351<br>Elevation: 201.0,"Alsace, France"
10805,Lahr,DE,BW,10805,EDTL,48.3667,7.8333,155.0,Europe/Berlin,1973-01-01,2023-03-31,1950-01-01,2023-03-29,1950-01-01,2022-01-01,34097.386359549564,<b>Lahr</b><br>Latitude: 48.3667<br>Longitude: 7.8333<br>Elevation: 155.0,"Alsace, France"
07197,Colmar,FR,A,07197,LFSC,47.9167,7.4,211.0,Europe/Paris,1973-01-01,2023-02-05,1986-03-12,2022-03-28,2005-01-01,2021-01-01,36973.85858498845,<b>Colmar</b><br>Latitude: 47.9167<br>Longitude: 7.4<br>Elevation: 211.0,"Alsace, France"
07190,Strasbourg,FR,A,07190,LFST,48.55,7.6333,153.0,Europe/Paris,1931-01-01,2023-03-31,1923-05-01,2023-03-26,1923-01-01,2022-01-01,37374.60786214257,<b>Strasbourg</b><br>Latitude: 48.55<br>Longitude: 7.6333<br>Elevation: 153.0,"Alsace, France"
99854,Neuhof,FR,A,99854,EQAE,48.55,7.76,139.0,Europe/Paris,2001-11-08,2002-04-25,,,,,42382.08018038847,<b>Neuhof</b><br>Latitude: 48.55<br>Longitude: 7.76<br>Elevation: 139.0,"Alsace, France"
10803,Freiburg,DE,BW,10803,EDTF,48.0,7.85,269.0,Europe/Berlin,1949-01-01,2023-03-31,1874-01-01,2023-03-29,1874-01-01,2022-01-01,42971.621128933046,<b>Freiburg</b><br>Latitude: 48.0<br>Longitude: 7.85<br>Elevation: 269.0,"Alsace, France"
D1602,Ohlsbach,DE,BW,,,48.4329,7.9931,176.0,Europe/Berlin,2004-07-01,2023-03-29,1970-01-01,2023-03-29,1970-01-01,2022-01-01,47863.015326081215,<b>Ohlsbach</b><br>Latitude: 48.4329<br>Longitude: 7.9931<br>Elevation: 176.0,"Alsace, France"
D2546,Kehl-Odelshofen,DE,BW,,,48.5576,7.88,141.0,Europe/Berlin,2007-05-01,2023-03-29,1988-10-01,2022-04-26,1988-01-01,2022-01-01,48917.42107201788,<b>Kehl-Odelshofen</b><br>Latitude: 48.5576<br>Longitude: 7.88<br>Elevation: 141.0,"Alsace, France"
D2050,Haslach im Kinzigtal,DE,BW,,,48.2766,8.0842,220.0,Europe/Berlin,2006-10-01,2023-03-29,2006-10-02,2022-04-26,2006-01-01,2022-01-01,50186.826415799864,<b>Haslach im Kinzigtal</b><br>Latitude: 48.2766<br>Longitude: 8.0842<br>Elevation: 220.0,"Alsace, France"
D1089,Durbach-Ebersweier,DE,BW,,,48.5017,7.9943,196.0,Europe/Berlin,2006-06-08,2023-03-29,2006-06-09,2022-04-24,2006-01-01,2022-01-01,51644.053638469246,<b>Durbach-Ebersweier</b><br>Latitude: 48.5017<br>Longitude: 7.9943<br>Elevation: 196.0,"Alsace, France"
D0259,Müllheim,DE,BW,,,47.8064,7.6387,273.0,Europe/Berlin,1961-01-01,2023-03-29,1947-01-01,2023-03-29,1947-01-01,2022-01-01,52150.75925367517,<b>Müllheim</b><br>Latitude: 47.8064<br>Longitude: 7.6387<br>Elevation: 273.0,"Alsace, France"
D1214,Elzach-Fisnacht,DE,BW,,,48.2012,8.1089,440.0,Europe/Berlin,2004-08-01,2023-03-29,1987-11-01,2023-03-29,1987-01-01,2022-01-01,52233.89187383616,<b>Elzach-Fisnacht</b><br>Latitude: 48.2012<br>Longitude: 8.1089<br>Elevation: 440.0,"Alsace, France"
D4712,Simonswald-Obersimonswald,DE,BW,,,48.0821,8.0919,419.0,Europe/Berlin,2006-06-19,2023-03-29,2006-06-20,2022-04-25,2006-01-01,2022-01-01,54053.24942881655,<b>Simonswald-Obersimonswald</b><br>Latitude: 48.0821<br>Longitude: 8.0919<br>Elevation: 419.0,"Alsace, France"
